DATE,WEEKDAY,DAY,EVENT,YEAR,MONTH
2011-01-29,Saturday,d 1,,2011,1
2011-01-30,Sunday,d 2,,2011,1
2011-01-31,Monday,d 3,,2011,1
2011-02-01,Tuesday,d 4,,2011,2
2011-02-02,Wednesday,d 5,,2011,2
2011-02-03,Thursday,d 6,,2011,2
2011-02-04,Friday,d 7,,2011,2
2011-02-05,Saturday,d 8,,2011,2
2011-02-06,Sunday,d 9,SuperBowl,2011,2
2011-02-07,Monday,d 10,,2011,2
2011-02-08,Tuesday,d 11,,2011,2
2011-02-09,Wednesday,d 12,,2011,2
2011-02-10,Thursday,d 13,,2011,2
2011-02-11,Friday,d 14,,2011,2
2011-02-12,Saturday,d 15,,2011,2
2011-02-13,Sunday,d 16,,2011,2
2011-02-14,Monday,d 17,,2011,2
2011-02-15,Tuesday,d 18,,2011,2
2011-02-16,Wednesday,d 19,,2011,2
2011-02-17,Thursday,d 20,,2011,2
2011-02-18,Friday,d 21,,2011,2
2011-02-19,Saturday,d 22,,2011,2
2011-02-20,Sunday,d 23,,2011,2
2011-02-21,Monday,d 24,,2011,2
2011-02-22,Tuesday,d 25,,2011,2
2011-02-23,Wednesday,d 26,,2011,2
2011-02-24,Thursday,d 27,,2011,2
2011-02-25,Friday,d 28,,2011,2
2011-02-26,Saturday,d 29,,2011,2
2011-02-27,Sunday,d 30,,2011,2
2011-02-28,Monday,d 31,,2011,2
2011-03-01,Tuesday,d 32,,2011,3
2011-03-02,Wednesday,d 33,,2011,3
2011-03-03,Thursday,d 34,,2011,3
2011-03-04,Friday,d 35,,2011,3
2011-03-05,Saturday,d 36,,2011,3
2011-03-06,Sunday,d 37,,2011,3
2011-03-07,Monday,d 38,,2011,3
2011-03-08,Tuesday,d 39,,2011,3
2011-03-09,Wednesday,d 40,,2011,3
2011-03-10,Thursday,d 41,,2011,3
2011-03-11,Friday,d 42,,2011,3
2011-03-12,Saturday,d 43,,2011,3
2011-03-13,Sunday,d 44,,2011,3
2011-03-14,Monday,d 45,,2011,3
2011-03-15,Tuesday,d 46,,2011,3
2011-03-16,Wednesday,d 47,,2011,3
2011-03-17,Thursday,d 48,,2011,3
2011-03-18,Friday,d 49,,2011,3
2011-03-19,Saturday,d 50,,2011,3
2011-03-20,Sunday,d 51,,2011,3
2011-03-21,Monday,d 52,,2011,3
2011-03-22,Tuesday,d 53,,2011,3
2011-03-23,Wednesday,d 54,,2011,3
2011-03-24,Thursday,d 55,,2011,3
2011-03-25,Friday,d 56,,2011,3
2011-03-26,Saturday,d 57,,2011,3
2011-03-27,Sunday,d 58,,2011,3
2011-03-28,Monday,d 59,,2011,3
2011-03-29,Tuesday,d 60,,2011,3
2011-03-30,Wednesday,d 61,,2011,3
